36	AAAI	1.743418394529004E11
597	CIKM	1.724933912862004E11
755	CVPR	1.6990633892600037E11
1194	ECIR	1.6967678559530038E11
1201	ECML	1.6956801290410037E11
1234	EDBT	1.705198229112504E11
1798	ICDE	1.739672023090504E11
1801	ICDM	1.7169825202955038E11
1902	ICML	1.7211508440760037E11
2180	IJCAI	1.747183513108504E11
2504	KDD	1.727751606150004E11
2934	PAKDD	1.7101328063880038E11
3011	PKDD	1.7031713220535037E11
3027	PODS	1.7144958059235037E11
3230	SDM	1.6997750436765036E11
3318	SIGIR	1.739063865617504E11
3329	SIGMOD	1.738626666375004E11
3594	VLDB	1.740317060006504E11
3771	WWW	1.708642039889004E11
4096	WSDM	1.6263837765905035E11
