1	the	1.931267919115505E11
2	automatic	1.879328850318505E11
3	acquisition	1.850563638422505E11
4	of	1.9415397595600055E11
5	proof	1.8106064107790045E11
6	methods	1.868503756204505E11
7	some	1.8433979984360046E11
8	philosophical	1.7627796717830045E11
9	problems	1.8648176107765048E11
10	with	1.915493132660505E11
11	formal	1.8361939721095047E11
12	learning	1.913494580148005E11
13	theory	1.8668301515690048E11
14	low	1.8286519094530048E11
15	cost	1.860414509133505E11
16	outdoor	1.7252144907220044E11
17	robot	1.8514485173140048E11
18	platform	1.832308424892505E11
19	for	1.9482898870255054E11
21	state	1.849916922187005E11
23	mini	1.692081608787004E11
24	grand	1.7640196709930045E11
25	challenge	1.8092891796425046E11
26	classification	1.893168128956505E11
27	noun	1.7862285053245044E11
28	phrases	1.8009242368225046E11
29	into	1.854959059295505E11
30	concepts	1.8330039502955048E11
31	or	1.8419955804270047E11
32	individuals	1.7716647592510043E11
33	terminological	1.8080996311625046E11
34	cycles	1.7831316914930045E11
35	in	1.9370727241725052E11
36	kl	1.7329264874610043E11
37	one	1.846726786405005E11
38	based	1.917895793830505E11
39	knowledge	1.896547949531505E11
40	representation	1.8662370375065048E11
41	languages	1.849015283293005E11
42	integrating	1.8586555443615048E11
43	description	1.8475211079030048E11
44	logics	1.8417142474440048E11
45	and	1.9367432586560052E11
46	action	1.8489030082805048E11
47	formalisms	1.7710333912190045E11
48	first	1.850696901422505E11
49	results	1.864674183629505E11
50	building	1.854927214581005E11
51	semantic	1.883302979333505E11
52	mappings	1.830987198926005E11
53	from	1.902446776055005E11
54	databases	1.903209927747005E11
55	to	1.917195761166505E11
56	ontologies	1.8249014802930048E11
57	robust	1.860407756555005E11
59	diagnosis	1.8436499613520047E11
60	as	1.867786995302505E11
61	problem	1.867716333748505E11
62	solving	1.858139350173505E11
63	a	1.9399525619125052E11
64	hypothesis	1.8049853934615045E11
65	space	1.868472554872005E11
66	old	1.7595878627080045E11
67	resolution	1.845695852557505E11
68	meets	1.8013015309040045E11
